127556,Colorado Mesa University,"1100 North Avenue, Grand Junction, Colorado 81501-3122",www.coloradomesa.edu
127565,Metropolitan State University of Denver,"Speer Blvd and Colfax Ave, Denver, Colorado 80217-3362",www.msudenver.edu/
127653,Naropa University,"2130 Arapahoe Ave, Boulder, Colorado 80302-6697",www.naropa.edu
127680,National American University-Colorado Springs,"1915 Jamboree Drive,  Suite 185, Colorado Springs, Colorado 80920",www.national.edu/locations/colorado/colorado-springs
127699,National American University-Denver,"1325 S. Colorado Boulevard, Suite 100, Denver, Colorado 80222-3308",www.national.edu/locations/colorado/denver
127741,University of Northern Colorado,"Carter Hall - Rm 4000, Greeley, Colorado 80639",www.unco.edu
127945,Rocky Mountain College of Art and Design,"1600 Pierce St, Lakewood, Colorado 80214",www.rmcad.edu
128106,Colorado State University-Pueblo,"2200 Bonforte Blvd, Pueblo, Colorado 81001-4901",www.csupueblo.edu
128328,United States Air Force Academy,"2304 Cadet Drive, Suite 3800, USAFA, Colorado 80840-5002",www.usafa.edu
128391,Western State Colorado University,"600 N Adams, Gunnison, Colorado 81231",www.western.edu
128425,Yeshiva Toras Chaim Talmudical Seminary,"1555 Stuart St, Denver, Colorado 80204",
141565,University of Hawaii at Hilo,"200 W Kawili St, Hilo, Hawaii 96720-4091",hilo.hawaii.edu
141574,University of Hawaii at Manoa,"2500 Campus Road, Hawaii Hall, Honolulu, Hawaii 96822-2217",manoa.hawaii.edu
141644,Hawaii Pacific University,"1164 Bishop Street, Suite 800, Honolulu, Hawaii 96813",www.hpu.edu
141839,University of Hawaii Maui College,"310 W Kaahumanu Ave, Kahului, Hawaii 96732-1617",maui.hawaii.edu
141981,University of Hawaii-West Oahu,"91-1001 Farrington Highway, Kapolei, Hawaii 96707-4507",uhwo.hawaii.edu
142115,Boise State University,"1910 University Dr, Boise, Idaho 83725",www.boisestate.edu
142276,Idaho State University,"921 S 8th Ave, Pocatello, Idaho 83209",www.isu.edu/
142285,University of Idaho,"875 Perimeter Drive, Moscow, Idaho 83844-2282",www.uidaho.edu
142294,The College of Idaho,"2112 Cleveland Blvd, Caldwell, Idaho 83605-4432",www.collegeofidaho.edu
142328,Lewis-Clark State College,"500 8th Ave, Lewiston, Idaho 83501-2698",www.lcsc.edu
142337,ITT Technical Institute-Boise,"12302 W. Explorer Dr, Boise, Idaho 83713-1529",www.itt-tech.edu
154022,Ashford University,"8620 Spectrum Center Boulevard, San Diego, California 92123",www.ashford.edu
180179,Montana State University-Billings,"1500 University Drive, Billings, Montana 59101-0298",www.msubillings.edu
180416,Montana Tech of the University of Montana,"1300 W Park St, Butte, Montana 59701-8997",www.mtech.edu
180461,Montana State University,"Montana State University, Bozeman, Montana 59717",www.montana.edu/
180489,The University of Montana,"Missoula, Montana, Missoula, Montana 59812",www.umt.edu
180522,Montana State University-Northern,"300 W 11th St, Havre, Montana 59501",www.msun.edu
180647,Salish Kootenai College,"58138 US  Highway 93, Pablo, Montana 59855",www.skc.edu
180692,The University of Montana-Western,"710 S Atlantic, Dillon, Montana 59725-3598",www.umwestern.edu
182005,College of Southern Nevada,"6375 W. Charleston Blvd., Las Vegas, Nevada 89146-1164",www.csn.edu
182111,The Art Institute of Las Vegas,"2350 Corporate Circle, Henderson, Nevada 89074-7737",www.ailv.artinstitutes.edu
182281,University of Nevada-Las Vegas,"4505 S Maryland Pky, Las Vegas, Nevada 89154",www.unlv.edu/
182290,University of Nevada-Reno,"North Virginia Street, Reno, Nevada 89557",www.unr.edu/
182306,Great Basin College,"1500 College Parkway, Elko, Nevada 89801",www.gbcnv.edu
182458,Sierra Nevada College,"999 Tahoe Blvd., Incline Village, Nevada 89451",www.sierranevada.edu
182564,Western Nevada College,"2201 West College Parkway, Carson City, Nevada 89703-7399",www.wnc.edu
208239,The Art Institute of Portland,"1122 NW Davis St., Portland, Oregon 97209-2911",www.artinstitutes.edu/portland/
208646,Eastern Oregon University,"One University Blvd, La Grande, Oregon 97850",www.eou.edu
208965,ITT Technical Institute-Portland,"9500 NE Cascades Parkway, Portland, Oregon 97220",www.itt-tech.edu
209056,Lewis & Clark College,"0615 S W Palatine Hill Rd, Portland, Oregon 97219-7899",www.lclark.edu/
209287,Multnomah University,"8435 NE Glisan St, Portland, Oregon 97220",www.multnomah.edu
209490,Oregon Health & Science University,"3181 SW Sam Jackson Park Rd, Portland, Oregon 97239-3098",www.ohsu.edu/xd
